,Current,Frequency,Signal
0,0.0,2.4,3.25785e-12
1,0.0,2.401,2.34481e-13
2,0.0,2.402,3.83695e-13
3,0.0,2.403,4.26327e-13
4,0.0,2.404,1.00542e-12
5,0.0,2.405,8.06469e-13
6,0.0,2.406,1.84742e-13
7,0.0,2.407,1.63426e-13
8,0.0,2.408,7.74495e-13
9,0.0,2.409,8.41997e-13
10,0.0,2.41,7.53179e-13
11,0.0,2.411,4.61856e-13
12,0.0,2.412,6.46597e-13
13,0.0,2.413,5.89754e-13
14,0.0,2.414,7.70942e-13
15,0.0,2.415,5.68438e-13
16,0.0,2.416,8.06469e-13
17,0.0,2.417,4.76067e-13
18,0.0,2.418,6.21728e-13
19,0.0,2.419,4.22775e-13
20,0.0,2.42,6.21728e-13
21,0.0,2.421,8.45549e-13
22,0.0,2.422,1.00898e-12
23,0.0,2.423,1.84742e-13
24,0.0,2.424,4.72514e-13
25,0.0,2.425,5.75543e-13
26,0.0,2.426,6.03966e-14
27,0.0,2.427,3.80142e-13
28,0.0,2.428,9.5924e-13
29,0.0,2.429,1.07648e-12
30,0.0,2.43,4.76067e-13
31,0.0,2.431,6.8923e-13
32,0.0,2.432,4.72514e-13
33,0.0,2.433,6.46597e-13
34,0.0,2.434,6.25281e-13
35,0.0,2.435,7.95811e-13
36,0.0,2.436,1.91847e-13
37,0.0,2.437,5.04489e-13
38,0.0,2.438,7.21204e-13
39,0.0,2.439,2.41586e-13
40,0.0,2.44,3.65931e-13
41,0.0,2.441,6.1107e-13
42,0.0,2.442,1.28964e-12
43,0.0,2.443,7.03441e-13
44,0.0,2.444,3.76589e-13
45,0.0,2.445,4.36986e-13
46,0.0,2.446,1.03029e-13
47,0.0,2.447,5.89754e-13
48,0.0,2.448,1.49215e-13
49,0.0,2.449,4.97383e-13
50,0.0,2.45,4.86725e-13
51,0.0,2.451,3.65931e-13
52,0.0,2.452,3.23299e-13
53,0.0,2.453,5.79096e-13
54,0.0,2.454,4.22775e-13
55,0.0,2.455,2.9843e-13
56,0.0,2.456,3.65931e-13
57,0.0,2.457,7.74495e-13
58,0.0,2.458,7.03441e-13
59,0.0,2.459,2.30928e-13
60,0.0,2.46,5.08042e-13
61,0.0,2.461,6.82124e-13
62,0.0,2.462,5.68438e-13
63,0.0,2.463,6.53703e-13
64,0.0,2.464,5.89754e-13
65,0.0,2.465,2.13164e-13
66,0.0,2.466,8.02917e-13
67,0.0,2.467,7.99364e-13
68,0.0,2.468,6.18176e-13
69,0.0,2.469,3.83695e-13
70,0.0,2.47,1.63426e-13
71,0.0,2.471,3.26851e-13
72,0.0,2.472,9.34371e-13
73,0.0,2.473,6.85677e-13
74,0.0,2.474,6.53703e-13
75,0.0,2.475,6.99888e-13
76,0.0,2.476,6.64361e-13
77,0.0,2.477,8.66866e-13
78,0.0,2.478,4.90278e-13
79,0.0,2.479,3.73037e-13
80,0.0,2.48,1.49215e-13
81,0.0,2.481,5.75543e-13
82,0.0,2.482,2.84219e-13
83,0.0,2.483,3.12641e-13
84,0.0,2.484,6.39493e-14
85,0.0,2.485,1.24346e-12
86,0.0,2.486,8.38444e-13
87,0.0,2.487,3.09088e-13
88,0.0,2.488,1.18306e-12
89,0.0,2.489,4.83173e-13
90,0.0,2.49,7.6739e-13
91,0.0,2.491,7.49626e-13
92,0.0,2.492,1.06582e-13
93,0.0,2.493,4.19222e-13
94,0.0,2.494,8.02917e-13
95,0.0,2.495,1.05516e-12
96,0.0,2.496,5.43569e-13
97,0.0,2.497,4.97383e-13
98,0.0,2.498,6.99888e-13
99,0.0,2.499,4.19222e-13
100,0.0,2.5,8.73971e-13
101,0.0,2.501,2.13164e-13
102,0.0,2.502,2.91324e-13
103,0.0,2.503,1.88295e-13
104,0.0,2.504,8.73971e-13
105,0.0,2.505,5.93307e-13
106,0.0,2.506,5.68438e-13
107,0.0,2.507,6.25281e-13
108,0.0,2.508,4.08564e-13
109,0.0,2.509,6.25281e-13
110,0.0,2.51,5.40016e-13
111,0.0,2.511,3.5172e-13
112,0.0,2.512,5.08042e-13
113,0.0,2.513,2.02506e-13
114,0.0,2.514,4.7962e-13
115,0.0,2.515,8.91735e-13
116,0.0,2.516,1.79768e-12
117,0.0,2.517,9.94767e-13
118,0.0,2.518,1.98953e-13
119,0.0,2.519,4.40538e-13
120,0.0,2.52,6.39492e-13
121,0.0,2.521,4.33433e-13
122,0.0,2.522,9.2016e-13
123,0.0,2.523,7.92259e-13
124,0.0,2.524,3.65931e-13
125,0.0,2.525,5.25805e-13
126,0.0,2.526,3.908e-13
127,0.0,2.527,3.73037e-13
128,0.0,2.528,9.05945e-13
129,0.0,2.529,7.31862e-13
130,0.0,2.53,2.66455e-13
131,0.0,2.531,6.28834e-13
132,0.0,2.532,3.16193e-13
133,0.0,2.533,9.2016e-13
134,0.0,2.534,4.19222e-13
135,0.0,2.535,8.38444e-13
136,0.0,2.536,5.93307e-13
137,0.0,2.537,7.42521e-13
138,0.0,2.538,2.66455e-13
139,0.0,2.539,4.33433e-13
140,0.0,2.54,7.10548e-15
141,0.0,2.541,6.07518e-13
142,0.0,2.542,8.41997e-13
143,0.0,2.543,6.82124e-13
144,0.0,2.544,5.25805e-13
145,0.0,2.545,5.82649e-13
146,0.0,2.546,5.00936e-13
147,0.0,2.547,3.87248e-13
148,0.0,2.548,5.61332e-13
149,0.0,2.549,3.16193e-13
150,0.0,2.55,4.54751e-13
151,0.0,2.551,6.1107e-13
152,0.0,2.552,3.58826e-13
153,0.0,2.553,4.47644e-13
154,0.0,2.554,1.01964e-12
155,0.0,2.555,5.43569e-13
156,0.0,2.556,1.03029e-12
157,0.0,2.557,5.96859e-13
158,0.0,2.558,5.96859e-13
159,0.0,2.559,3.48168e-13
160,0.0,2.56,7.35415e-13
161,0.0,2.561,1.31451e-13
162,0.0,2.562,6.82124e-13
163,0.0,2.563,6.75019e-13
164,0.0,2.564,4.22775e-13
165,0.0,2.565,4.51196e-13
166,0.0,2.566,5.68439e-14
167,0.0,2.567,6.03966e-14
168,0.0,2.568,5.79096e-13
169,0.0,2.569,3.94353e-13
170,0.0,2.57,2.84219e-13
