,Current,Frequency,Signal
0,0.0,2.7,9.80199e-12
1,0.0,2.705,8.33117e-12
2,0.0,2.71,1.81544e-12
3,0.0,2.715,4.05011e-13
4,0.0,2.72,1.45662e-13
5,0.0,2.725,6.7502e-14
6,0.0,2.73,1.77637e-13
7,0.0,2.735,1.06582e-13
8,0.0,2.74,1.13688e-13
9,0.0,2.745,1.31451e-13
10,0.0,2.75,6.39493e-14
11,0.0,2.755,2.33059e-12
12,0.0,2.76,2.55442e-12
13,0.0,2.765,6.92783e-13
14,0.0,2.77,7.46074e-14
15,0.0,2.775,1.59873e-13
16,0.0,2.78,8.52656e-14
17,0.0,2.785,3.01982e-13
18,0.0,2.79,3.94353e-13
19,0.0,2.795,4.83173e-13
20,0.0,2.8,5.00936e-13
21,0.0,2.805,9.87661e-13
22,0.0,2.81,1.66978e-12
23,0.0,2.815,2.52955e-12
24,0.0,2.82,2.58994e-12
25,0.0,2.825,2.26309e-12
26,0.0,2.83,2.22046e-12
27,0.0,2.835,2.3377e-12
28,0.0,2.84,3.31114e-12
29,0.0,2.845,4.87435e-12
30,0.0,2.85,7.30799e-12
31,0.0,2.855,1.18839e-11
32,0.0,2.86,2.17782e-11
33,0.0,2.865,4.37945e-11
34,0.0,2.87,7.42237e-11
35,0.0,2.875,8.30274e-11
36,0.0,2.88,6.16933e-11
37,0.0,2.885,3.62912e-11
38,0.0,2.89,2.0549e-11
39,0.0,2.895,1.20011e-11
40,0.0,2.9,7.53891e-12
41,0.0,2.905,5.37528e-12
42,0.0,2.91,3.98973e-12
43,0.0,2.915,3.10509e-12
44,0.0,2.92,2.69652e-12
45,0.0,2.925,2.65744e-12
46,0.0,2.93,2.53665e-12
47,0.0,2.935,2.83508e-12
48,0.0,2.94,3.5172e-12
49,0.0,2.945,3.49944e-12
50,0.0,2.95,2.74271e-12
51,0.0,2.955,1.95045e-12
52,0.0,2.96,1.25767e-12
53,0.0,2.965,1.01608e-12
54,0.0,2.97,8.02917e-13
55,0.0,2.975,7.78048e-13
56,0.0,2.98,7.74495e-13
57,0.0,2.985,7.17652e-13
58,0.0,2.99,6.60808e-13
59,0.04,2.7,2.20269e-13
60,0.04,2.705,6.39493e-14
61,0.04,2.71,2.27375e-13
62,0.04,2.715,2.34481e-13
63,0.04,2.72,1.27899e-13
64,0.04,2.725,1.954e-13
65,0.04,2.73,2.13164e-13
66,0.04,2.735,7.46074e-14
67,0.04,2.74,8.88183e-14
68,0.04,2.745,5.32909e-14
69,0.04,2.75,1.81189e-13
70,0.04,2.755,2.49047e-12
71,0.04,2.76,2.78889e-12
72,0.04,2.765,1.13332e-12
73,0.04,2.77,4.2988e-13
74,0.04,2.775,3.30404e-13
75,0.04,2.78,3.30404e-13
76,0.04,2.785,1.66978e-13
77,0.04,2.79,3.23299e-13
78,0.04,2.795,4.83173e-13
79,0.04,2.8,7.10546e-13
80,0.04,2.805,1.0445e-12
81,0.04,2.81,1.74794e-12
82,0.04,2.815,2.45849e-12
83,0.04,2.82,2.7285e-12
84,0.04,2.825,2.48691e-12
85,0.04,2.83,2.25954e-12
86,0.04,2.835,2.61481e-12
87,0.04,2.84,3.43549e-12
88,0.04,2.845,4.96672e-12
89,0.04,2.85,7.73787e-12
90,0.04,2.855,1.36567e-11
91,0.04,2.86,2.76438e-11
92,0.04,2.865,5.37599e-11
93,0.04,2.87,7.36518e-11
94,0.04,2.875,8.16276e-11
95,0.04,2.88,7.05787e-11
96,0.04,2.885,4.5951e-11
97,0.04,2.89,2.51889e-11
98,0.04,2.895,1.38272e-11
99,0.04,2.9,8.64026e-12
100,0.04,2.905,5.86201e-12
101,0.04,2.91,4.22776e-12
102,0.04,2.915,3.37509e-12
103,0.04,2.92,2.88482e-12
104,0.04,2.925,2.54376e-12
105,0.04,2.93,3.47812e-12
106,0.04,2.935,4.67895e-12
107,0.04,2.94,3.84406e-12
108,0.04,2.945,3.44259e-12
109,0.04,2.95,2.97008e-12
110,0.04,2.955,2.2098e-12
111,0.04,2.96,1.54544e-12
112,0.04,2.965,1.13688e-12
113,0.04,2.97,8.73971e-13
114,0.04,2.975,6.99888e-13
115,0.04,2.98,7.21204e-13
116,0.04,2.985,6.53703e-13
117,0.04,2.99,5.5778e-13
118,0.08,2.7,5.54227e-13
119,0.08,2.705,2.45139e-13
120,0.08,2.71,2.55797e-13
121,0.08,2.715,2.62903e-13
122,0.08,2.72,4.01458e-13
123,0.08,2.725,4.15669e-13
124,0.08,2.73,3.41062e-13
125,0.08,2.735,2.41586e-13
126,0.08,2.74,3.01982e-13
127,0.08,2.745,1.98953e-13
128,0.08,2.75,6.1107e-13
129,0.08,2.755,1.52767e-12
130,0.08,2.76,2.60415e-12
131,0.08,2.765,1.74084e-12
132,0.08,2.77,4.72514e-13
133,0.08,2.775,1.63426e-13
134,0.08,2.78,2.66455e-13
135,0.08,2.785,3.80142e-13
136,0.08,2.79,4.47644e-13
137,0.08,2.795,6.18176e-13
138,0.08,2.8,8.27786e-13
139,0.08,2.805,1.32162e-12
140,0.08,2.81,1.60939e-12
141,0.08,2.815,1.85098e-12
142,0.08,2.82,2.13875e-12
143,0.08,2.825,2.50112e-12
144,0.08,2.83,2.67876e-12
145,0.08,2.835,2.88482e-12
146,0.08,2.84,3.78367e-12
147,0.08,2.845,5.9153e-12
148,0.08,2.85,1.06795e-11
149,0.08,2.855,2.24248e-11
150,0.08,2.86,4.23628e-11
151,0.08,2.865,5.67051e-11
152,0.08,2.87,5.82578e-11
153,0.08,2.875,6.06097e-11
154,0.08,2.88,6.5683e-11
155,0.08,2.885,5.86451e-11
156,0.08,2.89,3.98368e-11
157,0.08,2.895,2.26735e-11
158,0.08,2.9,1.26975e-11
159,0.08,2.905,7.83734e-12
160,0.08,2.91,5.36107e-12
161,0.08,2.915,3.99328e-12
162,0.08,2.92,3.24364e-12
163,0.08,2.925,2.98074e-12
164,0.08,2.93,3.11219e-12
165,0.08,2.935,3.17259e-12
166,0.08,2.94,3.17969e-12
167,0.08,2.945,3.08377e-12
168,0.08,2.95,2.79955e-12
169,0.08,2.955,2.47981e-12
