,Current,Frequency,Signal
0,0.0,2.7,6.67202e-12
1,0.0,2.701,1.11201e-12
2,0.0,2.702,2.66455e-13
3,0.0,2.703,9.59237e-14
4,0.0,2.704,1.88295e-13
5,0.0,2.705,1.70531e-13
6,0.0,2.706,2.73561e-13
7,0.0,2.707,1.52768e-13
8,0.0,2.708,7.46074e-14
9,0.0,2.709,3.33957e-13
10,0.0,2.71,3.58826e-13
11,0.0,2.711,2.06058e-13
12,0.0,2.712,2.48692e-13
13,0.0,2.713,1.35004e-13
14,0.0,2.714,1.06582e-13
15,0.0,2.715,2.62903e-13
16,0.0,2.716,1.74084e-13
17,0.0,2.717,8.17128e-14
18,0.0,2.718,2.06058e-13
19,0.0,2.719,8.88183e-14
20,0.0,2.72,1.98953e-13
21,0.0,2.721,1.81189e-13
22,0.0,2.722,4.33433e-13
23,0.0,2.723,3.44615e-13
24,0.0,2.724,3.62379e-13
25,0.0,2.725,2.5935e-13
26,0.0,2.726,3.73037e-13
27,0.0,2.727,2.9843e-13
28,0.0,2.728,2.48692e-13
29,0.0,2.729,4.97382e-14
30,0.0,2.73,3.19746e-13
31,0.0,2.731,2.66455e-13
32,0.0,2.732,2.13164e-13
33,0.0,2.733,1.10135e-13
34,0.0,2.734,2.41586e-13
35,0.0,2.735,2.87772e-13
36,0.0,2.736,3.23299e-13
37,0.0,2.737,1.52768e-13
38,0.0,2.738,1.06582e-14
39,0.0,2.739,2.48691e-14
40,0.0,2.74,3.16193e-13
41,0.0,2.741,8.17128e-14
42,0.0,2.742,1.63426e-13
43,0.0,2.743,4.26327e-13
44,0.0,2.744,3.69484e-13
45,0.0,2.745,2.06058e-13
46,0.0,2.746,2.52244e-13
47,0.0,2.747,1.06582e-13
48,0.0,2.748,2.5935e-13
49,0.0,2.749,2.55797e-13
50,0.0,2.75,1.88295e-13
51,0.0,2.751,9.59237e-14
52,0.0,2.752,2.87772e-13
53,0.0,2.753,3.16193e-13
54,0.0,2.754,4.51196e-13
55,0.0,2.755,6.85677e-13
56,0.0,2.756,1.14398e-12
57,0.0,2.757,7.06993e-13
58,0.0,2.758,1.81189e-13
59,0.0,2.759,1.49215e-13
60,0.0,2.76,1.42109e-13
61,0.0,2.761,1.59873e-13
62,0.0,2.762,3.01982e-13
63,0.0,2.763,3.05535e-13
64,0.0,2.764,8.88183e-14
65,0.0,2.765,3.73037e-13
66,0.0,2.766,4.61856e-13
67,0.0,2.767,1.84742e-13
68,0.0,2.768,2.34481e-13
69,0.0,2.769,4.01458e-13
70,0.0,2.77,1.66978e-13
71,0.0,2.771,1.49215e-13
72,0.0,2.772,6.03966e-14
73,0.0,2.773,1.59873e-13
74,0.0,2.774,1.06582e-13
75,0.0,2.775,8.17128e-14
76,0.0,2.776,2.48691e-14
77,0.0,2.777,2.02506e-13
78,0.0,2.778,1.66978e-13
79,0.0,2.779,2.62903e-13
80,0.0,2.78,2.13164e-14
81,0.0,2.781,3.41062e-13
82,0.0,2.782,7.10547e-14
83,0.0,2.783,1.84742e-13
84,0.0,2.784,3.83695e-13
85,0.0,2.785,1.52768e-13
86,0.0,2.786,3.12641e-13
87,0.0,2.787,2.80666e-13
88,0.0,2.788,2.20269e-13
89,0.0,2.789,2.23822e-13
90,0.0,2.79,4.05011e-13
91,0.0,2.791,5.43569e-13
92,0.0,2.792,3.5172e-13
93,0.0,2.793,2.16716e-13
94,0.0,2.794,1.24346e-13
95,0.0,2.795,3.26851e-13
96,0.0,2.796,3.05535e-13
97,0.0,2.797,2.16716e-13
98,0.0,2.798,2.09611e-13
99,0.0,2.799,1.49215e-13
100,0.0,2.8,2.38034e-13
101,0.0,2.801,4.54751e-13
102,0.0,2.802,1.10135e-13
103,0.0,2.803,1.35004e-13
104,0.0,2.804,2.5935e-13
105,0.0,2.805,3.23299e-13
106,0.0,2.806,2.13164e-13
107,0.0,2.807,9.59237e-14
108,0.0,2.808,3.26851e-13
109,0.0,2.809,7.2831e-13
110,0.0,2.81,6.39492e-13
111,0.0,2.811,1.15109e-12
112,0.0,2.812,1.06937e-12
113,0.0,2.813,1.32872e-12
114,0.0,2.814,1.6236e-12
115,0.0,2.815,5.89754e-13
116,0.0,2.816,1.05161e-12
117,0.0,2.817,1.51346e-12
118,0.0,2.818,1.18306e-12
119,0.0,2.819,1.01608e-12
120,0.0,2.82,7.60284e-13
121,0.0,2.821,6.14623e-13
122,0.0,2.822,5.04489e-13
123,0.0,2.823,4.51196e-13
124,0.0,2.824,3.58826e-13
125,0.0,2.825,5.187e-13
126,0.0,2.826,3.05535e-13
127,0.0,2.827,3.44615e-13
128,0.0,2.828,3.48168e-13
129,0.0,2.829,4.7962e-13
130,0.0,2.83,2.34481e-13
131,0.0,2.831,3.16193e-13
132,0.0,2.832,2.87772e-13
133,0.0,2.833,2.06058e-13
134,0.0,2.834,4.47644e-13
135,0.0,2.835,5.187e-13
136,0.0,2.836,3.16193e-13
137,0.0,2.837,4.54751e-13
138,0.0,2.838,3.3751e-13
139,0.0,2.839,2.20269e-13
140,0.0,2.84,2.73561e-13
141,0.0,2.841,4.26327e-13
142,0.0,2.842,4.58304e-13
143,0.0,2.843,6.1107e-13
144,0.0,2.844,5.32911e-13
145,0.0,2.845,5.89754e-13
146,0.0,2.846,5.47121e-13
147,0.0,2.847,8.17128e-13
148,0.0,2.848,7.78048e-13
149,0.0,2.849,6.46597e-13
150,0.0,2.85,1.20793e-12
151,0.0,2.851,1.11201e-12
152,0.0,2.852,1.21148e-12
153,0.0,2.853,1.59162e-12
154,0.0,2.854,1.74439e-12
155,0.0,2.855,1.80479e-12
156,0.0,2.856,1.91493e-12
157,0.0,2.857,2.62902e-12
158,0.0,2.858,3.3147e-12
159,0.0,2.859,3.71617e-12
160,0.0,2.86,4.96672e-12
161,0.0,2.861,6.63294e-12
162,0.0,2.862,8.42709e-12
