,Current,Frequency,Signal
0,0.0,2.7,6.26701e-12
1,0.0,2.701,1.26122e-12
2,0.0,2.702,1.06582e-13
3,0.0,2.703,4.51196e-13
4,0.0,2.704,1.66978e-13
5,0.0,2.705,2.52244e-13
6,0.0,2.706,2.48692e-13
7,0.0,2.707,2.9843e-13
8,0.0,2.708,1.88295e-13
9,0.0,2.709,1.81189e-13
10,0.0,2.71,1.59873e-13
11,0.0,2.711,2.13164e-13
12,0.0,2.712,3.69484e-13
13,0.0,2.713,1.77637e-13
14,0.0,2.714,4.97382e-14
15,0.0,2.715,1.1724e-13
16,0.0,2.716,1.49215e-13
17,0.0,2.717,1.5632e-13
18,0.0,2.718,3.58826e-13
19,0.0,2.719,1.1724e-13
20,0.0,2.72,1.13688e-13
21,0.0,2.721,4.01458e-13
22,0.0,2.722,3.23299e-13
23,0.0,2.723,1.81189e-13
24,0.0,2.724,3.09088e-13
25,0.0,2.725,2.41586e-13
26,0.0,2.726,1.81189e-13
27,0.0,2.727,2.09611e-13
28,0.0,2.728,7.10547e-14
29,0.0,2.729,2.13164e-13
30,0.0,2.73,1.20793e-13
31,0.0,2.731,9.2371e-14
32,0.0,2.732,1.70531e-13
33,0.0,2.733,1.59873e-13
34,0.0,2.734,3.62379e-13
35,0.0,2.735,4.22775e-13
36,0.0,2.736,2.84219e-13
37,0.0,2.737,8.17128e-14
38,0.0,2.738,1.1724e-13
39,0.0,2.739,3.69484e-13
40,0.0,2.74,2.02506e-13
41,0.0,2.741,3.80142e-13
42,0.0,2.742,1.81189e-13
43,0.0,2.743,1.31451e-13
44,0.0,2.744,5.32909e-14
45,0.0,2.745,3.94353e-13
46,0.0,2.746,1.91847e-13
47,0.0,2.747,1.954e-13
48,0.0,2.748,2.55797e-13
49,0.0,2.749,2.13164e-13
50,0.0,2.75,3.19746e-14
51,0.0,2.751,2.23822e-13
52,0.0,2.752,4.47644e-13
53,0.0,2.753,1.52768e-13
54,0.0,2.754,3.16193e-13
55,0.0,2.755,5.96859e-13
56,0.0,2.756,4.2988e-13
57,0.0,2.757,3.80142e-13
