,Current,Frequency,Signal
0,0.0,2.7,4.4196e-12
1,0.0,2.7002,1.11201e-12
2,0.0,2.7004,2.91324e-13
3,0.0,2.7006,8.17128e-14
4,0.0,2.7008,1.70531e-13
5,0.0,2.701,2.52244e-13
6,0.0,2.7012,2.45139e-13
7,0.0,2.7014,2.87772e-13
8,0.0,2.7016,2.84219e-13
9,0.0,2.7018,3.62379e-13
10,0.0,2.702,1.24346e-13
11,0.0,2.7022,1.98953e-13
12,0.0,2.7024,2.38034e-13
13,0.0,2.7026,1.81189e-13
14,0.0,2.7028,9.94764e-14
15,0.0,2.703,2.13164e-13
16,0.0,2.7032,1.63426e-13
17,0.0,2.7034,2.34481e-13
18,0.0,2.7036,2.9843e-13
19,0.0,2.7038,2.94877e-13
20,0.0,2.704,4.61855e-14
21,0.0,2.7042,1.88295e-13
22,0.0,2.7044,1.5632e-13
23,0.0,2.7046,2.23822e-13
24,0.0,2.7048,1.45662e-13
25,0.0,2.705,8.52656e-14
26,0.0,2.7052,1.13688e-13
27,0.0,2.7054,3.55273e-13
28,0.0,2.7056,2.45139e-13
29,0.0,2.7058,2.55797e-13
30,0.0,2.706,1.06582e-13
31,0.0,2.7062,1.63426e-13
32,0.0,2.7064,1.59873e-13
33,0.0,2.7066,3.01982e-13
34,0.0,2.7068,1.06582e-13
35,0.0,2.707,1.77637e-13
36,0.0,2.7072,2.66455e-13
37,0.0,2.7074,1.06582e-14
38,0.0,2.7076,1.954e-13
39,0.0,2.7078,2.41586e-13
40,0.0,2.708,4.08564e-13
41,0.0,2.7082,4.33433e-13
42,0.0,2.7084,4.33433e-13
43,0.0,2.7086,2.55797e-13
44,0.0,2.7088,3.12641e-13
45,0.0,2.709,1.59873e-13
46,0.0,2.7092,1.77637e-13
47,0.0,2.7094,2.13164e-13
48,0.0,2.7096,1.27899e-13
49,0.0,2.7098,1.06582e-13
50,0.0,2.71,1.81189e-13
51,0.0,2.7102,2.84219e-14
52,0.0,2.7104,2.45139e-13
53,0.0,2.7106,1.77637e-13
54,0.0,2.7108,3.05535e-13
55,0.0,2.711,4.61855e-14
56,0.0,2.7112,2.27375e-13
57,0.0,2.7114,2.91324e-13
58,0.0,2.7116,1.91847e-13
59,0.0,2.7118,3.5172e-13
60,0.0,2.712,1.74084e-13
61,0.0,2.7122,3.05535e-13
62,0.0,2.7124,2.09611e-13
63,0.0,2.7126,2.87772e-13
64,0.0,2.7128,3.16193e-13
65,0.0,2.713,3.44615e-13
66,0.0,2.7132,7.10547e-14
67,0.0,2.7134,3.19746e-14
68,0.0,2.7136,2.30928e-13
69,0.0,2.7138,2.80666e-13
70,0.0,2.714,1.42109e-13
71,0.0,2.7142,1.63426e-13
72,0.0,2.7144,3.44615e-13
73,0.0,2.7146,1.06582e-13
74,0.0,2.7148,3.26851e-13
75,0.0,2.715,1.74084e-13
76,0.0,2.7152,1.98953e-13
77,0.0,2.7154,1.49215e-13
78,0.0,2.7156,2.41586e-13
79,0.0,2.7158,4.01458e-13
80,0.0,2.716,1.24346e-13
81,0.0,2.7162,2.38034e-13
82,0.0,2.7164,9.59237e-14
83,0.0,2.7166,2.06058e-13
84,0.0,2.7168,2.27375e-13
